FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,EV,20366,EV,5289,12266,1226603,31453,IAH,10397,1039705,30397,ATL,1000,0955,-5.00,11.00,1006,1229,6.00,1252,1235,-17.00,0.00,,0.00,689.00
2015-01-01,EV,20366,EV,5290,11146,1114604,31146,CRW,10397,1039705,30397,ATL,1645,1645,0.00,10.00,1655,1756,7.00,1814,1803,-11.00,0.00,,0.00,363.00
2015-01-01,EV,20366,EV,5293,10185,1018502,30185,AEX,10397,1039705,30397,ATL,1700,1658,-2.00,9.00,1707,1920,13.00,1940,1933,-7.00,0.00,,0.00,500.00
2015-01-01,EV,20366,EV,5296,10397,1039705,30397,ATL,15624,1562401,31504,VPS,1510,1505,-5.00,14.00,1519,1501,5.00,1523,1506,-17.00,0.00,,0.00,250.00
2015-01-01,EV,20366,EV,5296,15624,1562401,31504,VPS,10397,1039705,30397,ATL,1600,1600,0.00,8.00,1608,1750,11.00,1810,1801,-9.00,0.00,,0.00,250.00
2015-01-01,EV,20366,EV,5298,11433,1143302,31295,DTW,11618,1161802,31703,EWR,1940,1936,-4.00,27.00,2003,2107,4.00,2131,2111,-20.00,0.00,,0.00,488.00
2015-01-01,EV,20366,EV,5299,10397,1039705,30397,ATL,10469,1046902,30469,AZO,1945,1940,-5.00,14.00,1954,2118,4.00,2140,2122,-18.00,0.00,,0.00,596.00
2015-01-01,EV,20366,EV,5303,10397,1039705,30397,ATL,11982,1198202,31982,GRK,1859,1946,47.00,16.00,2002,2104,4.00,2027,2108,41.00,0.00,,0.00,803.00
2015-01-01,EV,20366,EV,5305,10397,1039705,30397,ATL,12323,1232303,32323,ILM,1640,1642,2.00,12.00,1654,1746,2.00,1758,1748,-10.00,0.00,,0.00,377.00
2015-01-01,EV,20366,EV,5305,12323,1232303,32323,ILM,10397,1039705,30397,ATL,1823,1810,-13.00,7.00,1817,1929,10.00,1955,1939,-16.00,0.00,,0.00,377.00
